"역사_ID","역사명","호선","위도","경도"
"9996","미사","5호선","37.560927","127.193877"
"9995","강일","5호선","37.55749","127.17593"
"4929","김포공항","김포골드라인","37.56236","126.801868"
"4928","고촌","김포골드라인","37.601243","126.770345"
"4927","풍무","김포골드라인","37.612488","126.732387"
"4926","사우(김포시청)","김포골드라인","37.620249","126.719731"
"4925","걸포북변","김포골드라인","37.63165","126.705975"
"4924","운양","김포골드라인","37.653867","126.68393"
"4923","장기","김포골드라인","37.643986","126.669017"
"4922","마산","김포골드라인","37.640732","126.644344"
"4921","구래","김포골드라인","37.645384","126.628633"
"4920","양촌","김포골드라인","37.642379","126.614309"
"4815","원시","서해선","37.302371","126.786691"
"4814","원곡","서해선","37.31321","126.796261"
"4813","초지","서해선","37.319619","126.808147"
"4812","선부","서해선","37.334353","126.809904"
"4811","달미","서해선","37.348847","126.809409"
"4810","시흥능곡","서해선","37.369864","126.808573"
"4809","시흥시청","서해선","37.382223","126.805625"
"4808","신현","서해선","37.409008","126.788017"
"4807","신천","서해선","37.439066","126.786788"
"4806","시흥대야","서해선","37.450145","126.793041"
"4805","소새울","서해선","37.468467","126.797252"
"4804","소사","서해선","37.483279","126.795023"
"4713","신설동","우이신설선","37.576095","127.023242"
"4712","보문","우이신설선","37.585286","127.019381"
"4711","성신여대입구(돈암)","우이신설선","37.592467","127.016516"
"4710","정릉","우이신설선","37.603133","127.013396"
"4709","북한산보국문","우이신설선","37.612072","127.008251"
"4708","솔샘","우이신설선","37.620238","127.013626"
"4707","삼양사거리","우이신설선","37.621337","127.020473"
"4706","삼양","우이신설선","37.626914","127.018106"
"4705","화계","우이신설선","37.634133","127.017511"
"4704","가오리","우이신설선","37.641537","127.016789"
"4703","4.19민주묘지","우이신설선","37.649502","127.013684"
"4702","솔밭공원","우이신설선","37.65603","127.013273"
"4701","북한산우이","우이신설선","37.662909","127.012706"
"4615","탑석","의정부선","37.733579","127.088704"
"4614","송산","의정부선","37.737279","127.087159"
"4613","어룡","의정부선","37.742802","127.085035"
"4612","곤제","의정부선","37.750471","127.083715"
"4611","효자","의정부선","37.754025","127.076902"
"4610","경기도청북부청사","의정부선","37.75059","127.071495"
"4609","새말","의정부선","37.748885","127.06362"
"4608","동오","의정부선","37.745271","127.056947"
"4607","의정부중앙","의정부선","37.743676","127.049565"
"4606","흥선","의정부선","37.743302","127.037023"
"4605","의정부시청","의정부선","37.739256","127.034781"
"4604","경전철의정부","의정부선","37.737202","127.043257"
"4603","범골","의정부선","37.728755","127.04353"
"4602","회룡","의정부선","37.725006","127.047073"
"4601","발곡","의정부선","37.727048","127.052803"
"4517","전대.에버랜드","에버라인선","37.285342","127.219561"
"4515","둔전","에버라인선","37.267051","127.21364"
"4514","보평","에버라인선","37.258965","127.218457"
"4513","고진","에버라인선","37.24484","127.214251"
"4512","운동장.송담대","에버라인선","37.237845","127.209198"
"4511","김량장","에버라인선","37.237247","127.198781"
"4510","명지대","에버라인선","37.237964","127.190294"
"4509","시청.용인대","에버라인선","37.239151","127.178406"
"4508","삼가","에버라인선","37.242115","127.168075"
"4506","초당","에버라인선","37.260752","127.159443"
"4505","동백","에버라인선","37.269043","127.152716"
"4504","어정","에버라인선","37.274917","127.143714"
"4503","지석","에버라인선","37.269606","127.136515"
"4502","강남대","에버라인선","37.270161","127.126033"
"4501","기흥","에버라인선","37.275449","127.116665"
"4411","관악산(서울대)","신림선","37.4691018","126.9450639"
"4410","서울대벤처타운","신림선","37.4720019","126.9339351"
"4409","서원","신림선","37.4782341","126.9330365"
"4408","신림","신림선","37.4849266","126.9296159"
"4407","당곡","신림선","37.4902998","126.9275133"
"4406","보라매병원","신림선","37.4929598","126.9234964"
"4405","보라매공원","신림선","37.4955691","126.9180827"
"4404","보라매","신림선","37.5002739","126.9204355"
"4403","서울지방병무청","신림선","37.5060464","126.9227083"
"4402","대방","신림선","37.5133059","126.9257265"
"4401","샛강","신림선","37.5170969","126.929399"
"4319","광교(경기대)","신분당선(연장)","37.30211","127.044483"
"4318","광교중앙(아주대)","신분당선(연장)","37.288617","127.051478"
"4317","상현","신분당선(연장)","37.297664","127.069342"
"4316","성복","신분당선(연장)","37.313335","127.0801"
"4315","수지구청","신분당선(연장)","37.322702","127.095026"
"4314","동천","신분당선(연장)","37.337928","127.102976"
"4313","미금","신분당선(연장)","37.349982","127.108918"
"4312","정자","신분당선","37.367098","127.108403"
"4311","판교","신분당선","37.394761","127.112217"
"4310","청계산입구","신분당선","37.447211","127.055664"
"4309","양재시민의숲(매헌)","신분당선","37.470023","127.03842"
"4308","양재(서초구청)","신분당선","37.483809","127.034653"
"4307","강남","신분당선","37.496837","127.028104"
"4306","신논현","신분당선(연장2)","37.504598","127.02506"
"4305","논현","신분당선(연장2)","37.511093","127.021415"
"4304","신사","신분당선(연장2)","37.516334","127.020114"
"4217","영종","공항철도1호선","37.51202","126.524254"
"4215","인천공항2터미널","공항철도1호선","37.460699","126.441442"
"4213","인천공항1터미널","공항철도1호선","37.447464","126.452508"
"4212","공항화물청사","공항철도1호선","37.459041","126.477516"
"4211","운서","공항철도1호선","37.492904","126.49379"
"4210","청라국제도시","공항철도1호선","37.556409","126.624648"
"4209","검암","공항철도1호선","37.569098","126.674007"
"4208","계양","공항철도1호선","37.571662","126.7363"
"4207","김포공항","공항철도1호선","37.561842","126.801904"
"4206","마곡나루","공항철도1호선","37.565543","126.827378"
"4204","디지털미디어시티","공항철도1호선","37.576958","126.898609"
"4203","홍대입구","공항철도1호선","37.557438","126.926715"
"4202","공덕","공항철도1호선","37.54253","126.952024"
"4201","서울역","공항철도1호선","37.553247","126.969769"
"4138","중앙보훈병원","9호선(연장)","37.529191","127.148739"
"4137","둔촌오륜","9호선(연장)","37.519683","127.137989"
"4136","올림픽공원(한국체대)","9호선(연장)","37.516269","127.130288"
"4135","한성백제","9호선(연장)","37.516404","127.116503"
"4134","송파나루","9호선(연장)","37.510372","127.112216"
"4133","석촌","9호선(연장)","37.505208","127.10704"
"4132","석촌고분","9호선(연장)","37.502558","127.097033"
"4131","삼전","9호선(연장)","37.504738","127.088025"
"4130","종합운동장","9호선(연장)","37.511426","127.076275"
"4129","봉은사","9호선(연장)","37.514219","127.060245"
"4128","삼성중앙","9호선(연장)","37.513011","127.053282"
"4127","선정릉","9호선(연장)","37.510297","127.043999"
"4126","언주","9호선(연장)","37.507287","127.033868"
"4125","신논현","9호선","37.504598","127.02506"
"4124","사평","9호선","37.504206","127.015259"
"4123","고속터미널","9호선","37.50598","127.004403"
"4122","신반포","9호선","37.503415","126.995925"
"4121","구반포","9호선","37.501364","126.987332"
"4120","동작(현충원)","9호선","37.502878","126.978153"
"4119","흑석(중앙대입구)","9호선","37.50877","126.963708"
"4118","노들","9호선","37.512887","126.953222"
"4117","노량진","9호선","37.513534","126.941005"
"4116","샛강","9호선","37.517274","126.928422"
"4115","여의도","9호선","37.52176","126.92403"
"4114","국회의사당","9호선","37.528105","126.917874"
"4113","당산","9호선","37.533406","126.902809"
"4112","선유도","9호선","37.53802","126.893525"
"4111","신목동","9호선","37.544277","126.88308"
"4110","염창","9호선","37.546936","126.874916"
"4109","등촌","9호선","37.550632","126.865689"
"4108","증미","9호선","37.557402","126.861939"
"4107","가양","9호선","37.561391","126.854456"
"4106","양천향교","9호선","37.568381","126.841333"
"4105","마곡나루","9호선","37.566778","126.82731"
"4104","신방화","9호선","37.567532","126.816601"
"4103","공항시장","9호선","37.563726","126.810678"
"4102","김포공항","9호선","37.561916","126.802152"
"4101","개화","9호선","37.578608","126.798153"
"3763","석남(거북시장)","7호선","37.5062285","126.6762813"
"3762","산곡","7호선","37.5086","126.7035277"
"3761","부평구청","7호선(인천)","37.50848","126.72077"
"3760","굴포천","7호선(인천)","37.50681","126.73234"
"3759","삼산체육관","7호선(인천)","37.50724","126.74179"
"3758","상동","7호선(인천)","37.505814","126.753163"
"3757","부천시청","7호선(인천)","37.50444","126.76364"
"3756","신중동","7호선(인천)","37.50282","126.77566"
"3755","춘의","7호선(인천)","37.50365","126.78828"
"3754","부천종합운동장","7호선(인천)","37.50502","126.79661"
"3753","까치울","7호선(인천)","37.50613","126.81093"
"3227","운연(서창)","인천2호선","37.440127","126.75997"
"3226","인천대공원","인천2호선","37.448769","126.752618"
"3225","남동구청","인천2호선","37.448161","126.736939"
"3224","만수","인천2호선","37.454911","126.732094"
"3223","모래내시장","인천2호선","37.45583","126.719298"
"3222","석천사거리","인천2호선","37.456805","126.709986"
"3221","인천시청","인천2호선","37.456833","126.701306"
"3220","석바위시장","인천2호선","37.457611","126.692575"
"3219","시민공원(문화창작지대)","인천2호선","37.458335","126.681192"
"3218","주안","인천2호선","37.464992","126.679098"
"3217","주안국가산단","인천2호선","37.473703","126.68113"
"3216","가재울","인천2호선","37.484192","126.683673"
"3215","인천가좌","인천2호선","37.4897","126.675208"
"3214","서부여성회관","인천2호선","37.500168","126.675795"
"3213","석남(거북시장)","인천2호선","37.506193","126.676203"
"3212","가정중앙시장","인천2호선","37.517054","126.676672"
"3211","가정(루원시티)","인천2호선","37.524649","126.675539"
"3210","서구청","인천2호선","37.543742","126.676787"
"3209","아시아드경기장(공촌사거리)","인천2호선","37.5517","126.677122"
"3208","검바위","인천2호선","37.561405","126.677566"
"3207","검암","인천2호선","37.56866","126.675687"
"3206","독정","인천2호선","37.585212","126.675844"
"3205","완정","인천2호선","37.592928","126.673203"
"3204","마전","인천2호선","37.597566","126.666998"
"3203","검단사거리","인천2호선","37.60185","126.657108"
"3202","왕길","인천2호선","37.59518","126.642696"
"3201","검단오류(검단산업단지)","인천2호선","37.594877","126.627178"
"3139","송도달빛축제공원","인천1호선","37.407143","126.62597"
"3138","국제업무지구","인천1호선","37.399907","126.630347"
"3137","센트럴파크","인천1호선","37.393054","126.634729"
"3136","인천대입구","인천1호선","37.386007","126.639484"
"3135","지식정보단지","인천1호선","37.378384","126.645168"
"3134","테크노파크","인천1호선","37.382268","126.656365"
"3133","캠퍼스타운","인천1호선","37.387855","126.661673"
"3132","동막","인천1호선","37.397878","126.674005"
"3131","동춘","인천1호선","37.404737","126.681015"
"3130","원인재","인천1호선","37.412333","126.687869"
"3129","신연수","인천1호선","37.41804","126.693863"
"3128","선학","인천1호선","37.426684","126.698863"
"3127","문학경기장","인천1호선","37.434935","126.698579"
"3126","인천터미널","인천1호선","37.442383","126.699706"
"3125","예술회관","인천1호선","37.449396","126.701012"
"3124","인천시청","인천1호선","37.457263","126.702143"
"3123","간석오거리","인천1호선","37.467048","126.707938"
"3122","부평삼거리","인천1호선","37.477679","126.710208"
"3121","동수","인천1호선","37.485312","126.718247"
