인구이동_기점,인구이동_종점,0세_19세 일평균 외부유입 인구,20세_39세 일평균 외부유입 인구,40세_64세 일평균 외부유입 인구,65세 이상 일평균 외부유입 인구,남성_일평균 외부유입 인구,여성_일평균 외부유입 인구,2020년 1월_일평균 외부유입 인구,2020년 2월_일평균 외부유입 인구,2020년 3월_일평균 외부유입 인구,2020년 4월_일평균 외부유입 인구,2020년 5월_일평균 외부유입 인구,2020년 6월_일평균 외부유입 인구,2020년 7월_일평균 외부유입 인구,2020년 8월_일평균 외부유입 인구,2020년 9월_일평균 외부유입 인구,2020년 10월_일평균 외부유입 인구,2020년 11월_일평균 외부유입 인구,2020년 12월_일평균 외부유입 인구,주중_새벽(0시-6시)_일평균 외부유입 인구,주중_출근(7시-9시)_일평균 외부유입 인구,주중_주간(10시-17시)_일평균 외부유입 인구,주중_퇴근(18시-20시)_일평균 외부유입 인구,주중_야간(21시-23시)_일평균 외부유입 인구,주말_첨두시(11시-19시)_일평균 외부유입 인구,주말_비첨두시(20시-10시)_일평균 외부유입 인구,데이터기준일자
가평군,고등동,1.93,8.85,16.4,0.75,9.57,18.36,24.9,19.01,20.25,15.29,22.22,27.04,16.81,40.83,17.8,59.3,30.92,27.03,5.29,1.97,7.84,2.07,3.36,20.96,10.29,2021-11-30
가평군,곡선동,2.82,15.79,24.19,3.79,15.97,30.62,82.04,61.34,11.86,38.97,46.87,39.84,35.39,54.53,23.52,58.99,52.38,36.33,12.04,5.06,12.37,3.97,7.57,24.81,19.26,2021-11-30
가평군,광교1동,29.65,24.55,48.83,4.83,46.95,60.9,156.2,60.18,36.25,77.33,94.02,112.08,201.96,98.83,101.9,95.18,127.92,128.94,18.11,11.67,48.25,9.45,14.01,67.7,56.17,2021-11-30
가평군,광교2동,2.69,9.94,20.07,4.84,13.91,23.63,29.63,15.3,21.62,39.74,37.01,61.39,60.51,41.24,20.59,20.7,26.44,68.22,7.98,4.64,13.72,3.06,4.29,21.07,18.25,2021-11-30
가평군,구운동,5.86,11.62,26.29,7.51,20.86,30.42,61.25,30.46,50.83,38.53,41.71,57.95,53.24,36.5,55.67,32.09,43,108.79,12.08,5.23,16.55,3.99,7.35,38.16,23.04,2021-11-30
가평군,권선1동,6.88,34.59,31.41,8.7,33.58,47.99,133.9,50.76,43.9,143.39,79.58,29.52,117.84,87.18,45.95,79.9,110.57,51.06,20.79,8.7,27.29,6.54,13.21,54.62,35.74,2021-11-30
가평군,권선2동,1.95,11.95,23.76,26.77,23.86,40.56,202.18,30.73,32.4,82.99,37.58,22.41,40.53,31.17,66.98,49.28,69.84,75.17,17.45,7.16,15.79,3.33,7.13,45.32,28.5,2021-11-30
가평군,금곡동,3.77,49.78,35.62,26.45,35.41,80.22,143.63,283.24,34.9,34.13,117.25,129.58,140.75,71.68,60.47,115.03,143.19,87.65,36.13,13.42,32.6,7.46,17.02,77.1,37.85,2021-11-30
가평군,망포1동,16.59,79.53,46.74,0.96,76.08,67.73,116.97,95.31,158.26,104.19,84.41,144.07,125.83,144.18,266.74,133.95,151.13,198.1,34.82,12.74,34.26,7.92,18.95,157.65,67.72,2021-11-30
가평군,망포2동,2.33,7.53,26.29,0.46,22.83,13.78,26.38,31.11,21.29,14.49,90.71,16.9,30.04,70.22,39.93,18.35,17.76,12.59,7.13,2.9,6.6,2.01,3.93,29.27,12.44,2021-11-30
가평군,매교동,0.5,10.28,13.33,4.81,17.89,11.02,10,90.5,44.95,36.8,29.08,9.93,11.8,9.94,18.72,8.85,12.77,12.78,4.7,2.17,6.85,1.05,2.17,16.27,7.78,2021-11-30
가평군,매산동,12.83,51.3,35.84,11.31,39.07,72.21,194.57,95.13,41.93,64.64,151.75,77.11,98.66,163.82,98.73,117.69,117.23,102.06,18.14,8.24,42.78,11.43,20.24,65.41,67.93,2021-11-30
가평군,매탄1동,25.7,17.13,6.73,0.88,5.61,44.83,88.54,22.95,33.74,21.57,27.06,19.48,23.54,123.61,68.95,29.36,41.26,53.39,10.82,4.57,9.69,2.16,4.72,28.09,15.04,2021-11-30
가평군,매탄2동,17.51,28.9,47.23,2.48,27.67,68.45,103.49,39.79,57.15,56.7,133.1,72.53,76.12,135.84,75.87,130.04,86.84,164.66,22.72,10.27,27.24,5.8,11.48,75.32,56.55,2021-11-30
가평군,매탄3동,3.51,22.25,24.67,1.58,19.23,32.78,48.28,34.15,19.8,125.45,92.4,60.3,22.34,19.16,59.16,63.28,24.62,35.96,10.97,7.44,21.37,4.09,6.34,25.11,20.4,2021-11-30
가평군,매탄4동,1.25,33.94,2.99,0.16,1.45,36.89,24.79,48.62,52.85,28.23,40.43,9.3,36.81,73.27,50.57,10.77,30.46,13.12,5.64,2.46,6.85,1.44,2.76,10.54,6.49,2021-11-30
가평군,서둔동,12.78,14.32,31.79,16.94,38.26,37.57,53.94,51.69,120.98,52.84,111.66,91.49,50.79,35.67,105.59,91.91,57.39,81.98,18.73,9.26,30.54,5.52,10.93,36.02,33.19,2021-11-30
가평군,세류1동,4.14,23.36,14.16,0.61,27.97,14.31,39.69,9.26,6.48,5.87,56.43,18.71,36.22,38.87,10.37,64.67,86.43,41.55,7.91,3.18,8.3,2.11,4.28,28.77,13.62,2021-11-30
