업종,업체명,대표자명,도로명주소,지번주소,위도,경도,전화번호,데이터기준일자
대행업체,(주)삼원전기안전관리,정재섭,경기도 수원시 영통구 창룡대로256번길 77 1층 127호,경기도 수원시 영통구 이의동 1286,37.2961441,127.0409946,031-5186-6097,2021-08-03
대행업체,케이비전기안전,이병재,경기도 수원시 팔달구 정조로 651 매교종합상가 1동 2층 239호,경기도 수원시 팔달구 매교동 161,37.26666941,127.0156538,031-258-8193,2021-08-03
대행업체,한국전기,김현섭,경기도 수원시 권선구 경수대로235번길 3 3층,경기도 수원시 권선구 세류동 1150-17,37.24841837,127.0173512,031-225-8009,2021-08-03
대행업체,국제전기안전공사(주),송종환+임진우,경기도 수원시 장안구 화산로125번길 5 근린생활시설-3 305호,경기도 수원시 장안구 천천동 334-1,37.29426027,126.9803182,031-295-8110,2021-08-03
대행업체,(주)테스,현경진,경기도 수원시 영통구 영일로6번길 54 프라자빌딩 10층 10-1,경기도 수원시 영통구 영통동 1024-16,37.24799337,127.078911,031-204-1288,2021-08-03
대행업체,한국전기엔지니어링(주),서상덕,경기도 수원시 팔달구 매산로116번길 73-9 ,경기도 수원시 팔달구 매교동 122-1,37.26868266,127.0152665,031-233-8302,2021-08-03
대행업체,삼흥관리시스템(주)경기지점,박희태,경기도 수원시 팔달구 매산로 51 12층 1218호(매산로2가 동인트루빌3오피스텔),경기도 수원시 팔달구 매산로2가 40-1,37.26918767,127.006873,02-333-3215,2021-08-03
대행업체,(주)대림안전관리,강경문+유병만,경기도 수원시 권선구 권선로 308-18 수원종합공구단지 305-213,경기도 수원시 권선구 고색동 986,37.25407432,126.9853765,031-298-9431,2021-08-03
대행업체,남부전기이앤지(주),황임주,경기도 수원시 영통구 영통로 237 420호 (에이스하이엔드타워),경기도 수원시 영통구 신동 338,37.24866785,127.0570044,031-273-8152,2021-08-03
대행업체,(주)경기안전관리이엔지,이성재,경기도 수원시 권선구 오목천로 54 213호,경기도 수원시 권선구 오목천동 558-7,37.23964376,126.9684483,031-295-1919,2021-08-03
