연번,충전소명,사용시간,이용자제한,충전기상태,충전기타입,소재지도로명주소,소재지지번주소,세부위치,관리업체명,업체전화번호,위도,경도,충전소ID,충전기ID,충전기용량,기관ID,전용주차장,상태갱신일시,데이터기준일자
장안구_1_1,SK엔크린 경진셀프주유소,24시간 이용가능,이용자 제한 없음,2,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 경수대로 1059,경기도 수원시 장안구 파장동 585-4번지,지상 주차장,환경부(한국자동차환경협회),1661-9408,37.308128,126.996455,ME181107,ME18110701,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),ME,Y,,2021-11-30
장안구_2_1,롯데마트 천천점,주중/주말 10:00~23:00,이용자 제한 없음,2,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 만석로19번길 25-10,경기도 수원시 장안구 천천동 526번지,지상 5층 주차장,환경부(한국자동차환경협회),1661-9408,37.295945,126.982536,ME181122,ME18112201,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),ME,Y,,2021-11-30
장안구_2_2,롯데마트 천천점,주중/주말 10:00~23:00,이용자 제한 없음,2,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 만석로19번길 25-10,경기도 수원시 장안구 천천동 526번지,지상 5층 주차장,환경부(한국자동차환경협회),1661-9408,37.295945,126.982536,ME181122,ME18112202,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),ME,Y,,2021-11-30
장안구_3_1,수원종합운동장,24시간 이용가능,이용자 제한 없음,2,DC콤보,경기도 수원시 장안구 경수대로 893,경기도 수원시 장안구 조원동 775번지,북문 지상 주차장,환경부(한국자동차환경협회),1661-9408,37.299335,127.007841,ME18B403,ME18B40311,DC콤보(100kW),ME,Y,,2021-11-30
장안구_3_2,수원종합운동장,24시간 이용가능,이용자 제한 없음,2,DC콤보,경기도 수원시 장안구 경수대로 893,경기도 수원시 장안구 조원동 775번지,북문 지상 주차장,환경부(한국자동차환경협회),1661-9408,37.299335,127.007841,ME18B403,ME18B40312,DC콤보(100kW),ME,Y,,2021-11-30
장안구_3_3,수원종합운동장,24시간 이용가능,이용자 제한 없음,2,DC콤보,경기도 수원시 장안구 경수대로 893,경기도 수원시 장안구 조원동 775번지,북문 지상 주차장,환경부(한국자동차환경협회),1661-9408,37.299335,127.007841,ME18B403,ME18B40313,DC콤보(100kW),ME,Y,,2021-11-30
장안구_3_4,수원종합운동장,24시간 이용가능,이용자 제한 없음,3,DC콤보,경기도 수원시 장안구 경수대로 893,경기도 수원시 장안구 조원동 775번지,북문 지상 주차장,환경부(한국자동차환경협회),1661-9408,37.299335,127.007841,ME18B403,ME18B40314,DC콤보(100kW),ME,Y,,2021-11-30
장안구_4_1,장안구청,24시간 이용가능,이용자 제한 없음,2,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 송원로 101,경기도 수원시 장안구 조원동 888번지,지하 1층 주차장,환경부(한국자동차환경협회),1661-9408,37.303424,127.008998,ME000108,ME00010801,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),ME,Y,,2021-11-30
장안구_5_1,성균관스토어,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 율전로64번길 46,경기도 수원시 장안구 율전동 411-2번지,지상 주차장,제주전기자동차서비스,1670-2690,37.295573,126.968695,JE130032,JE13003201,완속(7kW),JE,N,,2021-11-30
장안구_6_1,경기도교통연수원,24시간 이용가능,이용자 제한 없음,2,DC콤보,경기도 수원시 장안구 수일로191번길 6,경기도 수원시 장안구 조원동 산1-24번지,지상 주차장,한국전력,1899-2100,37.308416,127.011109,KP004636,KP00463601,DC콤보(50kW),KP,Y,,2021-11-30
장안구_6_2,경기도교통연수원,24시간 이용가능,이용자 제한 없음,9,DC콤보,경기도 수원시 장안구 수일로191번길 6,경기도 수원시 장안구 조원동 산1-24번지,지상 주차장,한국전력,1899-2100,37.308416,127.011109,KP004636,KP00463602,DC콤보(50kW),KP,Y,,2021-11-30
장안구_7_1,꽃뫼노을마을한국 아파트,24시간 이용가능,입주자 외 이용제한,2,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 대평로51번길 56,경기도 수원시 장안구 정자동 882-5번지 화서역파크뷰,지하 1층 주차장,한국전력,1899-2100,37.292435,126.990921,KP000550,KP00055001,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),KP,Y,,2021-11-30
장안구_7_2,꽃뫼노을마을한국 아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 대평로51번길 56,경기도 수원시 장안구 정자동 882-5번지 화서역파크뷰,지하 1층 주차장,한국전력,1899-2100,37.292435,126.990921,KP000550,KP00055002,완속(7kW),KP,Y,,2021-11-30
장안구_7_3,꽃뫼노을마을한국 아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 대평로51번길 56,경기도 수원시 장안구 정자동 882-5번지 화서역파크뷰,지하 1층 주차장,한국전력,1899-2100,37.292435,126.990921,KP000550,KP00055003,완속(7kW),KP,Y,,2021-11-30
장안구_7_4,꽃뫼노을마을한국 아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 대평로51번길 56,경기도 수원시 장안구 정자동 882-5번지 화서역파크뷰,지하 1층 주차장,한국전력,1899-2100,37.292435,126.990921,KP000550,KP00055004,완속(7kW),KP,Y,,2021-11-30
