우선순위,시설유형,시설명,도로명주소,지번주소,위도,경도,관리주체,데이터일자
2,주차장,지동시장유료주차장,경기도 수원시 팔달구 창룡문로 4,경기도 수원시 팔달구 지동 401-1,37.277888,127.020268,민간,2021-11-30
2,주차장,선경도서관,경기도 수원시 팔달구 신풍로23번길 68,경기도 수원시 팔달구 신풍동 123-69,37.283891,127.010401,공공,2021-11-30
2,주차장,화성행궁 노상공영주차장,,경기도 수원시 팔달구 남창동 38-6,37.281122,127.013896,공공,2021-11-30
2,주차장,고등동 공영주차장,경기도 수원시 팔달구 고등로 78,경기도 수원시 팔달구 고등동 57-1,37.273291,127.005856,공공,2021-11-30
2,주차장,교동공영주차장,경기도 수원시 팔달구 향교로 140,경기도 수원시 팔달구 교동 98,37.273217,127.015266,공공,2021-11-30
3,병원,제이에스병원,경기도 수원시 권선구 금곡로196번길 76,경기도 수원시 권선구 금곡동 1125,37.273509,126.955531,민간,2021-11-30
1,일반도서관,화서다산도서관 ,경기도 수원시 팔달구 화양로68번길 7-35,경기도 수원시 팔달구 화서동 262,37.285631,126.997447,공공,2021-11-30
2,일반도서관,수원시립 대추골도서관,경기도 수원시 장안구 수일로 164,경기도 수원시 장안구 조원동  198-14,37.306577,127.008123,공공,2021-11-30
2,일반도서관,수원시북수원도서관,경기도 수원시 장안구 만석로 65,경기도 수원시 장안구 정자동 869-1,37.297675,126.988875,공공,2021-11-30
1,일반도서관,수원시일월도서관,경기도 수원시 장안구 일월천로 77,경기도 수원시 장안구 천천동 453-1,37.286893,126.977832,공공,2021-11-30
1,일반도서관,수원시광교홍재도서관,경기도수원시 영통구 대학로 88,경기도 수원시 영통구 이의동 1209,37.302911,127.047452,공공,2021-11-30
2,일반도서관,수원시광교푸른숲도서관,경기도 수원시 영통구 광교호수로 131,경기도 수원시 영통구 하동 1024,37.281161,127.066665,공공,2021-11-30
1,일반도서관,서수원도서관,경기도 수원시 권선구 탑동로57번길 35 ,경기도 수원시 권선구 탑동 746-1,37.273125,126.972113,공공,2021-11-30
2,일반도서관,호매실도서관,경기도 수원시 권선구 칠보로 169,경기도 수원시 권선구 호매실동 1369,37.266423,126.957918,공공,2021-11-30
1,일반도서관,수원시립 한림도서관,경기도 수원시 권선구 동수원로25번길 32-52,경기도 수원시 권선구 권선동 1355-4,37.237524,127.024938,공공,2021-11-30
3,백화점,AK플라자수원점수원점,경기도 수원시 팔달구 덕영대로 924,수원시 팔달구 매산로1가 18,37.266094,126.999571,민간,2021-11-30
2,백화점,NC백화점 수원터미널점,경기도 수원시 권선구 경수대로 270,경기도 수원시 권선구 권선동 1189,37.250161,127.019958,민간,2021-11-30
2,시장/종합상가,수원시농수산물도매시장 주차장,경기도 수원시 권선구 세권로 243,경기도 수원시 권선구 권선동 1229,37.255255,127.030764,민간,2021-11-30
2,문화및집회시설,수원시민회관,경기도 수원시 팔달구 팔달산로 28,경기도 수원시 팔달구 매산로3가 산2-1,37.273514,127.011297,공공,2021-11-30
2,문화및집회시설,수원제1야외음악당,경기도  수원시 팔달구 동수원로 335,경기도 수원시 팔달구 인계동 1128,37.259293,127.036401,공공,2021-11-30
1,문화및집회시설,해우재문화센터,경기도  수원시 장안구 장안로 463,경기도 수원시 장안구 이목동 184-6,37.318691,126.977803,공공,2021-11-30
3,문화및집회시설,한국SGI장안신세기문화회관,경기도 수원시 장안구 정조로1088번길 14,경기도 수원시 장안구 송죽동 458,37.302579,127.003656,민간,2021-11-30
3,문화및집회시설,경기방송,경기도 수원시 영통구 매영로345번길 111,경기도 수원시 영통구 영통동 961-17,37.256129,127.073578,민간,2021-11-30
2,문화및집회시설,수원광교박물관,경기도 수원시 영통구 광교로 182,경기도 수원시 영통구 이의동 403-2,37.296296,127.051391,공공,2021-11-30
2,문화및집회시설,수원박물관,경기도  수원시 영통구 창룡대로 265,경기도 수원시 영통구 이의동  1088-10,37.297651,127.036533,공공,2021-11-30
2,문화및집회시설,칠보청소년문화의집,경기도 수원시 권선구 서수원로577번길 209,경기도 수원시 권선구 금곡동 1074,37.275774,126.945653,공공,2021-11-30
1,문화및집회시설,서둔동벌터체육문화센터,경기도 수원시 권선구 서호동로14번길 76-23,경기도 수원시 권선구 서둔동 27-61,37.263897,126.990594,공공,2021-11-30
1,문화및집회시설,고색향토문화전시관,경기도 수원시 권선구 오목천로 276,경기도 수원시 권선구 고색동 249,37.248155,126.990491,공공,2021-11-30
3,판매시설,농협하나로마트세류점,경기도 수원시 권선구 세권로 39,경기도 수원시 권선구 세류동 356,37.259801,127.008741,민간,2021-11-30
3,의료시설,수원백병원,경기도 수원시 팔달구 정조로 793,경기도 수원시 팔달구 팔달로2가  95,37.278962,127.016261,민간,2021-11-30
3,의료시설,가톨릭대학교성빈센트병원,경기도 수원시 팔달구 중부대로 93,경기도 수원시 팔달구 지동 93-6,37.278365,127.027811,민간,2021-11-30
1,의료시설,경기도의료원수원병원,경기도 수원시 장안구 수성로245번길 69,경기도 수원시 장안구 정자동 886-9,37.291825,126.996311,공공,2021-11-30
2,교육연구시설,서호생태수자원센터,,경기도 수원시 팔달구 화서동 433-2,37.284249,126.986385,공공,2021-11-30
1,교육연구시설,경기도융합과학교육원,경기도 수원시 장안구 수일로 135,경기도 수원시 장안구 송죽동 68,37.308212,127.005531,공공,2021-11-30
1,교육연구시설,한국방송통신대학교,경기도 수원시 권선구 효행로 28,경기도 수원시 권선구 오목천동 399,37.240494,126.958512,공공,2021-11-30
1,교육연구시설,수원시어린이교통공원,경기도 수원시 영통구 덕영대로 1570,경기도 수원시 영통구 영통동 981-4,37.245491,127.063903,공공,2021-11-30
2,교육연구시설,합동신학대학원대학교,경기도 수원시 영통구 광교중앙로 50,경기도 수원시 영통구 원천동 산42-3,37.279551,127.053614,민간,2021-11-30
1,노유자(노인및어린이)시설,경기문화재단,경기도 수원시 권선구 서둔로 166,경기도 수원시 권선구 서둔동 103-25,37.265841,126.982448,공공,2021-11-30
2,노유자(노인및어린이)시설,SK청솔노인복지관,경기도 수원시 장안구 장안로 174,경기도 수원시 장안구 정자동 286,37.299124,126.997368,공공,2021-11-30
2,노유자(노인및어린이)시설,수원시육아종합지원센터,경기 수원시 장안구 송정로24번길 47,경기도 수원시 장안구 정자2동 32-5,37.294746,127.001277,공공,2021-11-30
1,노유자(노인및어린이)시설,영통종합사회복지관,경기도 수원시 영통구 반달로 45,경기도 수원시 영통구 영통동 1012-5,37.250531,127.077598,공공,2021-11-30
2,노유자(노인및어린이)시설,광교종합사회복지관,경기도  수원시 영통구 대학2로 41,경기도 수원시 영통구 이의동 1259-4,37.299324,127.046671,공공,2021-11-30
2,노유자(노인및어린이)시설,수원시장애인종합복지관,경기도 수원시 영통구 창룡대로 255,경기도 수원시 영통구 이의동 1088-2,37.295453,127.036026,공공,2021-11-30
2,노유자(노인및어린이)시설,수원시장애인복지센터,경기도 수원시 권선구 호매실로 211,경기도 수원시 권선구 호매실동 1385,37.263189,126.956721,공공,2021-11-30
2,노유자(노인및어린이)시설,능실종합사회복지관,경기도 수원시 권선구 호매실로166번길 10 ,경기도 수원시 권선구 호매실동 1415,37.258115,126.959173,공공,2021-11-30
1,노유자(노인및어린이)시설,권선청소년수련관,경기도 수원시 권선구 덕영대로1201번길 42,경기도 수원시 권선구 권선2동 1190,37.251128,127.023252,공공,2021-11-30
3,수련시설,수원유스호스텔,경기도 수원시 권선구 서호로 32,경기도 수원시 권선구 서둔동 88-14,37.260586,126.984582,민간,2021-11-30
3,수련시설,라마다프라자수원호텔,경기도 수원시 팔달구 중부대로 150,경기도 수원시 팔달구 인계동 940,37.277756,127.032385,민간,2021-11-30
2,운동시설,서호체육센터,경기도 수원시 팔달구 수성로 120,경기도 수원시 팔달구 화서동 410-6,37.284641,126.988146,공공,2021-11-30
2,운동시설,보훈재활체육센터,경기도 수원시 장안구 광교산로 71,경기도 수원시 장안구 하광교동 437-1,37.297533,127.024913,공공,2021-11-30
1,운동시설,광교웰빙체육센터,경기도 수원시 영통구 웰빙타운로 71,경기도 수원시 영통구 이의동 1183,37.305116,127.043056,공공,2021-11-30
2,운동시설,서수원체육관,경기도 수원시 권선구 구운로14번길 46,경기도 수원시 권선구 구운동 501,37.278626,126.975734,공공,2021-11-30
2,운동시설,푸른지대골프클럽,경기도 수원시 권선구 수봉로 59,경기도 수원시 권선구 탑동 505,37.266407,126.978087,민간,2021-11-30
1,운동시설,서수원 체육공원,,경기도 수원시 권선구 고색동 904-30,37.247456,126.971383,공공,2021-11-30
2,업무시설,한국외식업중앙회경기도지회종합회관,경기도 수원시 팔달구 경수대로 714 ,경기도 수원시 영통구 우만동 472-8,37.288904,127.026048,민간,2021-11-30
1,업무시설,경기인천지방병무청,경기도 수원시 팔달구 고화로 120,경기도 수원시 팔달구 화서1동 53-2,37.280314,127.007502,공공,2021-11-30
2,업무시설,수원세무서,경기도 수원시 팔달구 매산로 61,경기도 수원시 팔달구 매산로3가 28,37.269725,127.007781,공공,2021-11-30
2,업무시설,신용보증기금 수원지점,경기도 수원시 팔달구 인계로 162,경기도 수원시 팔달구 인계동 1114 ,37.266291,127.035203,공공,2021-11-30
2,업무시설,NPS국민연금수원사옥,경기도 수원시 팔달구 효원로307번길 19 ,경기도 수원시 팔달구 인계동 1122-9,37.261773,127.035394,공공,2021-11-30
1,업무시설,경기도여성비전센터,경기도 수원시 팔달구 효원로308번길 34,경기도 수원시 팔달구 인계동 1129,37.259264,127.034113,공공,2021-11-30
2,업무시설,수원시민방위교육장,경기도 수원시 팔달구 동수원로 341,경기도 수원시 팔달구 인계동 1128,37.259807,127.037371,공공,2021-11-30
1,업무시설,국민건강보험공단 인천경기지역본부,경기도 수원시 팔달구 권선로 741,경기도 수원시 팔달구 인계동 1134-6 ,37.257953,127.032514,공공,2021-11-30
1,업무시설,경인지방통계청 수원사무소,경기도 수원시 팔달구 효원로308번길 58-6,경기도 수원시 팔달구 인계동 1133-9,37.258398,127.033943,공공,2021-11-30
1,업무시설,건강보험심사평가원수원지원,경기도 수원시 팔달구 효원로308번길 46,경기도 수원시 팔달구 인계동 1133-10,37.258627,127.034223,공공,2021-11-30
